id,value
coefficients,
coefficients.positive,
coefficients.positive.Thu,6
coefficients.positive.Fri,8
coefficients.positive.American,5
coefficients.positive.JetBlue,15
coefficients.positive.Frontier,6
coefficients.positive.Spirit,46
coefficients.positive.Southwest,14
coefficients.positive.ABQ_Or,5
coefficients.positive.ATL_Or,3
coefficients.positive.CLT_Or,2
coefficients.positive.DAL_Or,11
coefficients.positive.DEN_Or,11
coefficients.positive.DFW_Or,21
coefficients.positive.EWR_Or,37
coefficients.positive.HOU_Or,16
coefficients.positive.JFK_Or,28
coefficients.positive.LAS_Or,16
coefficients.positive.LAX_Or,37
coefficients.positive.LGA_Or,36
coefficients.positive.MIA_Or,22
coefficients.positive.OAK_Or,19
coefficients.positive.ORD_Or,40
coefficients.positive.PSP_Or,3
coefficients.positive.RIC_Or,7
coefficients.positive.SAN_Or,2
coefficients.positive.SAV_Or,50
coefficients.positive.SEA_Or,3
coefficients.positive.SFO_Or,38
coefficients.positive.SJC_Or,2
coefficients.positive.TPA_Or,16
coefficients.positive.BOS_De,17
coefficients.positive.BTR_De,10
coefficients.positive.CLT_De,3
coefficients.positive.DCA_De,5
coefficients.positive.DEN_De,8
coefficients.positive.DFW_De,14
coefficients.positive.DTW_De,7
coefficients.positive.EWR_De,54
coefficients.positive.FLL_De,16
coefficients.positive.GEG_De,1
coefficients.positive.HNL_De,26
coefficients.positive.HOU_De,7
coefficients.positive.JFK_De,28
coefficients.positive.LAS_De,7
coefficients.positive.LAX_De,45
coefficients.positive.LGA_De,72
coefficients.positive.MCO_De,25
coefficients.positive.MIA_De,47
coefficients.positive.OAK_De,10
coefficients.positive.ORD_De,23
coefficients.positive.PBI_De,13
coefficients.positive.PHL_De,17
coefficients.positive.PHX_De,4
coefficients.positive.PIT_De,7
coefficients.positive.RAP_De,27
coefficients.positive.RSW_De,35
coefficients.positive.SFO_De,69
coefficients.positive.SJU_De,15
coefficients.positive.TLH_De,25
coefficients.positive.TPA_De,4
coefficients.positive.13_DEP,2
coefficients.positive.15_DEP,7
coefficients.positive.16_DEP,15
coefficients.positive.17_DEP,16
coefficients.positive.18_DEP,18
coefficients.positive.19_DEP,10
coefficients.positive.20_DEP,22
coefficients.positive.21_DEP,7
coefficients.positive.00_ARR,11
coefficients.positive.17_ARR,5
coefficients.positive.18_ARR,11
coefficients.positive.19_ARR,9
coefficients.positive.20_ARR,17
coefficients.positive.21_ARR,17
coefficients.positive.22_ARR,20
coefficients.positive.23_ARR,5
coefficients.negative,
coefficients.negative.Mar,8
coefficients.negative.Jun,23
coefficients.negative.Jul,50
coefficients.negative.Aug,34
coefficients.negative.Dec,36
coefficients.negative.Tues,10
coefficients.negative.Wed,8
coefficients.negative.Sat,19
coefficients.negative.Alaskan,41
coefficients.negative.Delta,33
coefficients.negative.Hawaiian,63
coefficients.negative.Envoy,47
coefficients.negative.United,19
coefficients.negative.Virgin,7
coefficients.negative.ANC_Or,9
coefficients.negative.BUF_Or,6
coefficients.negative.BWI_Or,2
coefficients.negative.HNL_Or,36
coefficients.negative.IAD_Or,5
coefficients.negative.IAH_Or,6
coefficients.negative.JAX_Or,24
coefficients.negative.KOA_Or,3
coefficients.negative.LBB_Or,23
coefficients.negative.MDW_Or,5
coefficients.negative.MHT_Or,9
coefficients.negative.PDX_Or,18
coefficients.negative.PHX_Or,7
coefficients.negative.PIT_Or,6
coefficients.negative.BUF_De,11
coefficients.negative.BUR_De,23
coefficients.negative.BWI_De,16
coefficients.negative.CMH_De,21
coefficients.negative.DSM_De,4
coefficients.negative.IAD_De,21
coefficients.negative.LGB_De,12
coefficients.negative.LIT_De,8
coefficients.negative.MCI_De,2
coefficients.negative.MDW_De,5
coefficients.negative.OKC_De,12
coefficients.negative.ORF_De,15
coefficients.negative.PVD_De,4
coefficients.negative.SAN_De,7
coefficients.negative.SJC_De,8
coefficients.negative.SLC_De,7
coefficients.negative.SMF_De,5
coefficients.negative.SNA_De,12
coefficients.negative.00_DEP,94
coefficients.negative.06_DEP,88
coefficients.negative.07_DEP,60
coefficients.negative.08_DEP,37
coefficients.negative.09_DEP,18
coefficients.negative.10_DEP,13
coefficients.negative.11_DEP,14
coefficients.negative.12_DEP,12
coefficients.negative.07_ARR,13
coefficients.negative.09_ARR,15
coefficients.negative.10_ARR,24
coefficients.negative.11_ARR,28
coefficients.negative.12_ARR,16
coefficients.negative.14_ARR,6
coefficients.negative.15_ARR,7
coefficients.negative.16_ARR,1
coefficients.negative.Feb,16
coefficients.negative.Apr,8
coefficients.negative.May,1
coefficients.negative.Sep,8
coefficients.negative.Oct,16
coefficients.negative.Nov,20
