id,value
coefficients,
coefficients.positive,
coefficients.positive.Dep_Cong,3
coefficients.positive.Wind_Speed_LAX,25
coefficients.positive.High_Temp_LAX,61
coefficients.positive.Precip_Hour_LAX,4
coefficients.positive.Precip_6hour_LAX,3
coefficients.positive.Precip_24hour_LAX,2
coefficients.positive.Snow_LAX,0
coefficients.positive.Wind_Speed_JFK,49
coefficients.positive.Precip_Hour_JFK,4
coefficients.positive.Snow_JFK,3
coefficients.positive.Monday,141
coefficients.positive.Tuesday,122
coefficients.positive.Wednesday,115
coefficients.positive.Thursday,145
coefficients.positive.Friday,136
coefficients.positive.Saturday,108
coefficients.positive.Sunday,137
coefficients.positive.American,263
coefficients.positive.JetBlue,202
coefficients.positive.Delta,227
coefficients.positive.Virgin,157
coefficients.positive.00_Dep,22
coefficients.positive.06_Dep,32
coefficients.positive.07_Dep,35
coefficients.positive.08_Dep,45
coefficients.positive.09_Dep,32
coefficients.positive.10_Dep,10
coefficients.positive.11_Dep,25
coefficients.positive.12_Dep,51
coefficients.positive.13_Dep,33
coefficients.positive.16_Dep,6
coefficients.positive.17_Dep,3
coefficients.positive.18_Dep,23
coefficients.positive.19_Dep,62
coefficients.positive.20_Dep,72
coefficients.positive.21_Dep,97
coefficients.positive.22_Dep,72
coefficients.positive.08_Arr,6
coefficients.positive.09_Arr,8
coefficients.positive.10_Arr,38
coefficients.positive.11_Arr,24
coefficients.positive.12_Arr,29
coefficients.positive.13_Arr,35
coefficients.positive.14_Arr,30
coefficients.positive.15_Arr,9
coefficients.positive.16_Arr,16
coefficients.positive.17_Arr,13
coefficients.positive.18_Arr,47
coefficients.positive.19_Arr,71
coefficients.positive.20_Arr,94
coefficients.positive.21_Arr,61
coefficients.positive.22_Arr,25
coefficients.positive.23_Arr,30
coefficients.positive.Jan, 32
coefficients.positive.Feb,47
coefficients.positive.Mar,48
coefficients.positive.Apr,39
coefficients.positive.May,38
coefficients.positive.Jun,74
coefficients.positive.Jul,88
coefficients.positive.Aug,78
coefficients.positive.Sep,43
coefficients.positive.Oct,52
coefficients.positive.Nov,29
coefficients.positive.Dec,67
coefficients.negative,
coefficients.negative.Time_Scheduled,1464
coefficients.negative.Origin_Cong,27
coefficients.negative.Visibility_LAX,5
coefficients.negative.Temperature_LAX,105
coefficients.negative.Low_Temp_LAX,130
coefficients.negative.Gusts_LAX,5
coefficients.negative.Visibility_JFK,134
coefficients.negative.Temperature_JFK,64
coefficients.negative.Low_Temp_JFK,44
coefficients.negative.Gusts_JFK,0
coefficients.negative.High_Temp_JFK,25
coefficients.negative.Precip_6hour_JFK,1
coefficients.negative.Precip_24hour_JFK,5
coefficients.negative.14_Dep,17
coefficients.negative.15_Dep,14
coefficients.negative.00_Arr,6
